Latitude,Longitude,wname,distance_to_wetland
-36.64785,146.42329,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",876352.0961621274
-36.2068,147.12626,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",826272.5623579038
-37.3514,144.3518,Bulloo Lake,946457.2280591736
-37.46453,145.17791,Lake Numalla Aggregation,967513.5851803164
-38.02388,144.20636,Bulloo Lake,1017410.3608248192
-37.69706,145.49889,Lake Numalla Aggregation,995814.0267422771
-37.79561,145.38559,Lake Numalla Aggregation,1005577.5043098058
-37.56962,144.74058,Lake Numalla Aggregation,976771.6605467275
-37.17708,143.19626,Bulloo Lake,914350.7357775823
-37.48431,144.58897,Bulloo Lake,964940.7191661904
-37.50598,148.22173,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",976986.9356009851
-37.50281,146.95131,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",969543.0118265762
-37.77727,145.36328,Lake Numalla Aggregation,1003370.5239507732
-37.76822,145.36008,Lake Numalla Aggregation,1002349.2586769882
-37.91848,145.34309,Lake Numalla Aggregation,1018706.0373532926
-36.36417,145.37666,Lake Numalla Aggregation,848096.2800334513
-37.69915,144.44993,Bulloo Lake,985808.1158447707
-37.46363,145.17793,Lake Numalla Aggregation,967414.6568755268
-38.66854,143.49291,Bulloo Lake,1080337.790738788
-37.27341,147.8567,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",947916.5030204236
-37.01467,145.45544,Lake Numalla Aggregation,920460.1048571522
-38.65083,146.29625,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1097712.7274325024
-37.42058,143.13782,Bulloo Lake,940873.0435343503
-37.74928,145.17549,Lake Numalla Aggregation,998830.3061073829
-37.27307,147.85594,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",947872.8617448697
-37.67437,144.37297,Bulloo Lake,981875.9878419236
-38.48821,146.69375,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1078434.2932347609
-37.70906,144.9957,Lake Numalla Aggregation,993277.74178459
-38.11028,144.03247,Bulloo Lake,1024554.9241908591
-37.75417,145.84849,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1002459.8816098624
-37.25916,145.82901,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",948311.9357244587
-37.41652,145.69849,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",966959.2176016661
-37.80623,145.20576,Lake Numalla Aggregation,1005308.8190113495
-36.71726,146.65133,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",883108.2341210814
-37.76179,145.63381,Lake Numalla Aggregation,1004303.9583160134
-37.90762,144.6518,Bulloo Lake,1011823.0434852403
-37.47048,145.15515,Lake Numalla Aggregation,968005.2939531864
-37.36669,144.00378,Bulloo Lake,942988.2897660848
-38.3511,142.4947,Bulloo Lake,1041935.0054105048
-38.15364,144.32049,Bulloo Lake,1033146.3750619243
-37.86657,145.41046,Lake Numalla Aggregation,1013585.5378145173
-35.62349,144.12629,Bulloo Lake,754680.9504549825
-37.79649,145.38444,Lake Numalla Aggregation,1005664.0650088986
-37.62353,141.7097,Bulloo Lake,963307.5999906346
-36.81241,147.65769,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",895613.8158358508
-37.31407,145.46773,Lake Numalla Aggregation,953472.7690191243
-37.29015,145.8763,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",951247.9136238485
-37.37119,144.00019,Bulloo Lake,943432.6901380101
-37.36205,145.75401,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",960383.9043564929
-37.44818,148.21606,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",970590.1636425906
-37.38738,148.89351,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",973521.6759424995
-37.45679,148.2096,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",971461.9901855303
-38.12352,142.84302,Bulloo Lake,1017218.9527336237
-38.10011,144.05376,Bulloo Lake,1023709.1082705422
-37.95682,146.15964,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1022244.557367767
-37.16873,143.25683,Bulloo Lake,913814.1618415769
-38.53573,143.94704,Bulloo Lake,1069992.7507060773
-36.53654,147.37656,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",863567.3832304601
-37.68239,144.4389,Bulloo Lake,983809.2372893096
-37.76383,145.18421,Lake Numalla Aggregation,1000492.0914395838
-37.70682,145.54298,Lake Numalla Aggregation,997324.964715958
-38.0788,145.77615,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1038739.1945444536
-37.34949,148.69484,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",966176.1534160422
-38.05406,145.82443,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1035573.0664893632
-36.32529,146.88028,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",839273.5355115278
-37.04832,146.73754,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",919521.1615655258
-36.76344,142.16085,Bulloo Lake,866774.5582483759
-36.63063,145.74448,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",880216.9659046158
-37.61367,145.60707,Lake Numalla Aggregation,987788.9517944669
-37.3126,145.286,Lake Numalla Aggregation,951639.7058535158
-38.54534,143.9589,Bulloo Lake,1071173.1504472895
-37.79166,145.36069,Lake Numalla Aggregation,1004928.579254516
-37.405,147.41194,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",959689.9554383194
-36.82154,146.4109,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",895614.4780557023
-37.37029,144.00015,Bulloo Lake,943333.818118129
-37.72915,145.21456,Lake Numalla Aggregation,996897.0688137577
-35.92473,144.41679,Bulloo Lake,792968.436405222
-38.4246,146.5681,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1071752.1037078106
-36.74847,146.66794,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",886515.1356523405
-37.73818,142.04044,Bulloo Lake,974711.6825024869
-37.69417,146.40333,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",991954.2585414089
-36.93447,146.41228,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",908084.3634105852
-37.5576,143.3901,Bulloo Lake,957586.8740845107
-37.3735,143.95966,Bulloo Lake,943159.2022391964
-37.6716,147.84849,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",991654.5775419207
-37.33904,149.43448,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",978803.4656170249
-37.1776,143.16812,Bulloo Lake,914241.3406907497
-37.16254,143.2026,Bulloo Lake,912785.5485265289
-38.07441,145.78762,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1038148.5391273713
-36.76728,147.66851,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",890706.9914068995
-37.84016,145.17632,Lake Numalla Aggregation,1008831.3625644209
-37.17337,145.29651,Lake Numalla Aggregation,936409.6181736112
-37.87864,144.64477,Bulloo Lake,1008567.0412198397
-37.46868,145.1552,Lake Numalla Aggregation,967807.4665136068
-38.59972,146.61194,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1090887.4896164467
-37.6945,144.81618,Lake Numalla Aggregation,990822.6817993855
-37.64545,143.48198,Bulloo Lake,967969.4299107526
-37.71198,145.2717,Lake Numalla Aggregation,995444.2385773753
-37.82346,147.85961,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1008433.6943135052
-38.14669,147.08788,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1040648.1870558229
-37.797,145.00623,Lake Numalla Aggregation,1003020.5075654214
-37.7392,145.03238,Lake Numalla Aggregation,996804.3235041564
-37.47234,145.1585,Lake Numalla Aggregation,968233.8205092545
-37.79013,147.87627,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1004900.2705263423
-36.5189,145.4158,Lake Numalla Aggregation,865536.3135593832
-37.41655,142.86451,Bulloo Lake,939307.5046544643
-37.69825,144.82401,Lake Numalla Aggregation,991267.4609974248
-37.1431,143.85945,Bulloo Lake,916690.8602236336
-36.4527,148.0878,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",859885.1078678293
-37.00255,144.46875,Bulloo Lake,910624.0591532411
-37.15923,143.28245,Bulloo Lake,912939.8728355302
-38.55679,143.61871,Bulloo Lake,1069092.246849652
-37.27958,149.2212,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",967959.495574043
-36.04014,146.2096,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",810556.4279977337
-37.36083,147.83955,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",957398.9763664374
-37.79018,143.29301,Bulloo Lake,982501.8166465706
-38.67352,143.57636,Bulloo Lake,1081525.7008177
-37.64581,147.72505,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",987927.4028214328
-37.40598,143.14757,Bulloo Lake,939315.6711973266
-38.3159,142.4817,Bulloo Lake,1038060.9358927343
-38.55699,143.39653,Bulloo Lake,1067429.1719159412
-37.39093,149.34271,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",982419.3138645906
-36.93712,146.40103,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",908434.963411823
-36.98238,147.21255,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",912340.5466146832
-37.72349,145.10965,Lake Numalla Aggregation,995548.8491525023
-37.1524,143.1067,Bulloo Lake,911121.6787317378
-37.79015,145.70964,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1007783.5476557795
-37.3205,145.28453,Lake Numalla Aggregation,952496.5363424076
-36.26053,144.24582,Bulloo Lake,826108.4868649329
-35.95297,144.45252,Bulloo Lake,796755.288133614
-37.26051,145.87522,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",948001.8947697359
-37.91854,144.65714,Bulloo Lake,1013097.4908678541
-37.91509,145.35796,Lake Numalla Aggregation,1018457.7294733363
-38.4746,143.689,Bulloo Lake,1060710.7371361034
-37.95293,145.55547,Lake Numalla Aggregation,1024423.2898335096
-37.28682,143.15884,Bulloo Lake,926236.6505401442
-37.70686,141.87636,Bulloo Lake,971748.2179568113
-36.88011,145.62042,Lake Numalla Aggregation,907526.4888604472
-37.68711,144.88001,Lake Numalla Aggregation,990279.0375262753
-36.19012,147.72625,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",827413.9742880346
-37.16695,143.25565,Bulloo Lake,913610.0850785989
-36.91581,147.33875,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",905368.2976483571
-38.45465,145.54406,Lake Numalla Aggregation,1079250.673990071
-37.3834,145.46569,Lake Numalla Aggregation,961065.0980741208
-37.47353,141.62636,Bulloo Lake,947249.2248782169
-38.28852,143.96101,Bulloo Lake,1043162.0808159477
-38.36247,142.48426,Bulloo Lake,1043188.1666204944
-38.58628,146.35429,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1090343.4273816962
-37.51854,148.2638,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",978837.5604996044
-37.71194,144.44439,Bulloo Lake,987104.3077302547
-37.66107,145.37542,Lake Numalla Aggregation,990714.4386553075
-36.03388,146.17692,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",810128.8702194687
-37.70686,142.04303,Bulloo Lake,971250.6682568382
-37.20678,148.82625,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",952787.1115515203
-37.23394,143.82907,Bulloo Lake,926275.6448232217
-38.54894,143.95905,Bulloo Lake,1071567.6969954944
-37.59189,147.69847,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",981816.0845702589
-37.70079,148.56159,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1002503.8758176994
-38.01331,143.97718,Bulloo Lake,1013297.0289015213
-37.13024,143.19491,Bulloo Lake,909175.537659056
-37.47353,149.59374,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",996725.2179351918
-38.20385,146.16238,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1049379.364949159
-37.73788,149.31887,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1019229.0843223595
-36.32692,146.92631,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",839432.2161313229
-36.73374,148.06469,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",890519.7721312217
-36.31616,146.83775,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",838300.9483377807
-37.13895,146.16906,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",932140.8864724906
-37.68711,145.36073,Lake Numalla Aggregation,993446.4473407977
-37.57344,149.75957,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1011221.812584507
-36.11638,147.834,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",820213.6111162892
-37.31932,144.364,Bulloo Lake,943172.9155912764
-37.89501,144.65221,Bulloo Lake,1010467.7451017023
-36.59762,146.04032,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",873513.320375578
-36.7326,145.98844,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",888857.3745723816
-37.74565,144.13264,Bulloo Lake,986082.7021245017
-37.74924,145.17322,Lake Numalla Aggregation,998810.0136062868
-36.9898,147.48044,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",914159.6494250682
-38.072,141.292,Bulloo Lake,1015492.3957313026
-37.89435,145.42324,Lake Numalla Aggregation,1016747.8418469386
-34.70683,143.12629,Bulloo Lake,640555.1585060412
-37.76314,145.75526,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1004353.0579309313
-38.10653,144.06669,Bulloo Lake,1024571.5285110472
-37.822,145.3882,Lake Numalla Aggregation,1008497.4593806886
-36.35361,146.32937,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",844358.3609362742
-36.79019,142.04301,Bulloo Lake,869965.8909832784
-37.70239,145.15325,Lake Numalla Aggregation,993517.4816097835
-37.9142,144.65444,Bulloo Lake,1012580.7518036057
-36.79706,144.50462,Bulloo Lake,889042.1150549179
-37.6946,148.7234,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1004157.2371702697
-38.58614,143.32772,Bulloo Lake,1070185.0710670704
-37.50623,148.85322,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",985738.0516798416
-38.04021,141.12638,Bulloo Lake,1013521.8655765046
-38.12354,141.20971,Bulloo Lake,1021864.8055548826
-37.69987,144.45029,Bulloo Lake,985892.1204485913
-38.06024,145.81179,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1036367.8509212292
-37.26878,145.78837,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",949786.7364170922
-37.38179,148.35126,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",964913.0895115669
-36.4995,145.94997,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",863560.9140042827
-37.11002,144.1841,Bulloo Lake,917548.3649541837
-38.69407,146.07739,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1103738.07444272
-38.12347,147.04296,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1038047.5653916736
-36.36074,148.04175,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",849255.6050687567
-37.09919,144.42033,Bulloo Lake,920238.0626477422
-37.76057,145.53166,Lake Numalla Aggregation,1003103.3941428076
-38.35151,142.49548,Bulloo Lake,1041980.0480523262
-37.79016,145.04298,Lake Numalla Aggregation,1002476.7098091488
-37.8934,144.65169,Bulloo Lake,1010284.5631822156
-37.73306,145.17589,Lake Numalla Aggregation,997048.9108659416
-35.95682,144.3763,Bulloo Lake,795622.2222565669
-36.9138,142.51071,Bulloo Lake,883277.0055803745
-37.45679,148.12626,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",970569.296762696
-37.11155,147.81276,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",929741.0168683417
-37.41821,149.35231,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",985549.2374688081
-38.45682,146.20965,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1076879.3481794929
-37.55963,148.95204,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",993192.7083040888
-37.52346,148.2596,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",979328.3263404912
-36.11444,147.83515,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",820010.3210985829
-37.74078,145.20861,Lake Numalla Aggregation,998132.4179742085
-37.79016,144.79299,Lake Numalla Aggregation,1001279.22857264
-37.79832,145.38667,Lake Numalla Aggregation,1005884.472357688
-35.89014,145.65961,Lake Numalla Aggregation,799483.061787496
-37.6235,144.37632,Bulloo Lake,976405.1720644522
-37.10049,147.58884,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",926969.6086630091
-37.22297,147.71695,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",941301.51565242
-37.63433,149.49168,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1011675.3743857653
-37.20684,143.20967,Bulloo Lake,917715.0117480998
-37.17365,143.1376,Bulloo Lake,913632.9769436421
-37.17122,147.76353,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",935935.086578951
-37.4027,146.0308,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",962244.6863073978
-37.20682,145.6263,Lake Numalla Aggregation,943416.0833896489
-37.72484,149.26057,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1016683.51481439
-37.24595,147.46712,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",942379.1652302206
-37.76516,145.10132,Lake Numalla Aggregation,1000081.4074837638
-37.73471,145.1089,Lake Numalla Aggregation,996778.8507361747
-38.36326,142.49124,Bulloo Lake,1043274.2274675784
-37.79016,145.00965,Lake Numalla Aggregation,1002286.3517369522
-36.4337,148.085,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",857764.7321692657
-37.51057,147.84636,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",973928.1588522287
-37.26501,145.87515,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",948496.9884335822
-35.42397,143.72578,Bulloo Lake,726390.7866730748
-38.07608,145.77505,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1038451.7662948171
-37.73361,145.21,Lake Numalla Aggregation,997354.0745235172
-37.47481,148.92624,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",983559.2921749717
-36.02347,146.00961,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",810512.0235596183
-37.79346,145.36065,Lake Numalla Aggregation,1005125.901050408
-38.41519,142.50137,Bulloo Lake,1048989.6079554479
-36.72387,145.64417,Lake Numalla Aggregation,890685.309060455
-36.38543,146.40418,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",847433.0509390159
-38.13558,144.23724,Bulloo Lake,1029996.8510745396
-37.56932,149.26955,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1000115.9523463461
-38.55655,143.61864,Bulloo Lake,1069065.374100804
-37.29668,145.83773,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",952344.432954377
-38.38783,142.77766,Bulloo Lake,1046181.6210114424
-37.75542,145.70692,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1004007.362633579
-38.58012,146.58511,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1088805.6854585425
-38.57528,146.57194,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1088311.5496487336
-38.51148,146.30419,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1082369.1109729956
-36.71791,146.21798,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",885352.939332433
-37.16588,145.54555,Lake Numalla Aggregation,938018.7897968991
-36.85361,147.51854,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",899313.5239698288
-37.75683,145.07632,Lake Numalla Aggregation,999007.9903876807
-37.3735,144.00966,Bulloo Lake,943810.09720017
-38.58301,146.25788,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1090466.248185727
-37.35704,144.40225,Bulloo Lake,947902.9503250989
-37.54878,148.79804,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",989463.2520725057
-36.97971,147.49446,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",913115.8413072978
-36.04014,145.95961,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",812864.6602059109
-37.05314,147.6027,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",921827.635075097
-36.37347,146.29294,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",846791.2013068077
-38.65173,146.30021,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1097791.6502180335
-34.58184,142.7513,Bulloo Lake,624645.7455690593
-37.67128,147.86911,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",991780.5680259424
-38.16779,146.41007,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1044081.2654167126
-37.55139,147.86859,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",978594.2693081762
-37.92366,145.32705,Lake Numalla Aggregation,1019143.3169539409
-36.73222,146.96791,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",884332.3414009816
-38.65185,143.49221,Bulloo Lake,1078503.7411088166
-36.35798,146.32748,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",844853.535202896
-37.50557,148.85401,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",985679.4569067741
-36.12346,147.04293,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",816913.0686823402
-37.73028,146.98556,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",994659.7012742757
-36.1068,147.02626,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",815050.3271141783
-37.26102,143.14007,Bulloo Lake,923286.4976847853
-37.25306,144.38015,Bulloo Lake,936246.850757175
-37.70258,148.71859,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1004952.9570287177
-37.85762,145.52265,Lake Numalla Aggregation,1013653.2310935593
-36.59994,145.76071,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",876656.6402934468
-37.76289,147.35394,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",998948.3662397095
-37.92389,145.55694,Lake Numalla Aggregation,1021256.358670532
-38.32931,144.31005,Bulloo Lake,1052086.9531241693
-36.2568,147.12626,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",831815.6663370163
-36.75894,147.26623,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",887772.9179850316
-37.98309,145.59697,Lake Numalla Aggregation,1028147.5133189465
-38.24127,145.94317,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1055072.3414214044
-38.54711,143.96012,Bulloo Lake,1071379.8998122553
-37.22689,144.37782,Bulloo Lake,933366.759566554
-37.61842,149.47693,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1009655.3276015411
-37.13825,144.36147,Bulloo Lake,923467.9264129964
-37.513,145.428,Lake Numalla Aggregation,974931.765366644
-38.70277,143.47841,Bulloo Lake,1083982.655027297
-36.78418,144.51345,Bulloo Lake,887816.4628379544
-36.54664,147.6275,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",866063.3770938347
-38.00145,145.37801,Lake Numalla Aggregation,1028105.5767230362
-37.70685,143.37634,Bulloo Lake,973904.2398576458
-38.56888,145.60029,Lake Numalla Aggregation,1092280.3927622382
-37.44272,148.15778,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",969356.8085057674
-37.39144,148.21893,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",964404.0837544804
-37.4789,148.30909,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",975026.8033686136
-37.10855,147.57744,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",927792.3562629711
-37.74989,145.69646,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1003512.2911663821
-38.71641,143.64105,Bulloo Lake,1086754.490568916
-38.54018,143.70968,Bulloo Lake,1068076.7508257176
-36.14684,145.80172,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",826388.2414413061
-36.04014,146.12627,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",811252.1711029813
-37.59018,143.40967,Bulloo Lake,961319.0484107746
-37.79016,145.02632,Lake Numalla Aggregation,1002380.3799450746
-37.04015,145.79296,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",924638.0868068909
-38.59551,146.11191,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1092702.337823003
-37.68,145.36769,Lake Numalla Aggregation,992725.9145197343
-37.29088,143.78383,Bulloo Lake,931991.3540570188
-37.7766,145.57652,Lake Numalla Aggregation,1005317.6611548153
-37.90681,146.25964,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1016126.0793992506
-37.83943,145.39027,Lake Numalla Aggregation,1010428.8968352501
-37.68705,144.17341,Bulloo Lake,980263.1604094255
-37.95353,144.15423,Bulloo Lake,1009034.0769561962
-37.65683,144.27633,Bulloo Lake,978475.7735628281
-37.924,145.55686,Lake Numalla Aggregation,1021267.6080500501
-36.76337,144.69195,Lake Numalla Aggregation,887531.1350591631
-36.67346,147.14293,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",878006.099617736
-37.09188,148.38698,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",933657.1845523729
-37.80292,145.39338,Lake Numalla Aggregation,1006448.3642372724
-36.08222,146.19989,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",815283.6770941829
-37.91414,145.35457,Lake Numalla Aggregation,1018325.027044658
-37.43344,149.19829,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",984080.3515758897
-37.68569,145.52633,Lake Numalla Aggregation,994839.7302832403
-37.4705,144.89954,Lake Numalla Aggregation,966487.550438575
-37.5735,144.74299,Lake Numalla Aggregation,977207.8908326983
-36.97923,147.49655,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",913073.5249577743
