Platypus_ID,Latitude,Longitude,Nearest_Wetland,Distance (m)
134,-38.59972,146.61194,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1090887.4896164467
135,-37.6945,144.81618,Lake Numalla Aggregation,990822.6817993855
136,-37.64545,143.48198,Bulloo Lake,967969.4299107526
137,-37.71198,145.2717,Lake Numalla Aggregation,995444.2385773753
138,-37.82346,147.85961,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1008433.6943135052
139,-38.14669,147.08788,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1040648.1870558229
140,-37.797,145.00623,Lake Numalla Aggregation,1003020.5075654214
142,-37.7392,145.03238,Lake Numalla Aggregation,996804.3235041564
143,-37.47234,145.1585,Lake Numalla Aggregation,968233.8205092545
144,-37.79013,147.87627,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1004900.2705263423
145,-36.5189,145.4158,Lake Numalla Aggregation,865536.3135593832
146,-37.41655,142.86451,Bulloo Lake,939307.5046544643
147,-37.69825,144.82401,Lake Numalla Aggregation,991267.4609974248
150,-37.1431,143.85945,Bulloo Lake,916690.8602236336
151,-36.4527,148.0878,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",859885.1078678293
154,-37.00255,144.46875,Bulloo Lake,910624.0591532411
155,-37.15923,143.28245,Bulloo Lake,912939.8728355302
156,-38.55679,143.61871,Bulloo Lake,1069092.246849652
157,-37.27958,149.2212,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",967959.495574043
158,-36.04014,146.2096,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",810556.4279977337
159,-37.36083,147.83955,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",957398.9763664374
160,-37.79018,143.29301,Bulloo Lake,982501.8166465706
161,-38.67352,143.57636,Bulloo Lake,1081525.7008177
163,-37.64581,147.72505,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",987927.4028214328
164,-37.40598,143.14757,Bulloo Lake,939315.6711973266
165,-38.3159,142.4817,Bulloo Lake,1038060.9358927343
166,-38.55699,143.39653,Bulloo Lake,1067429.1719159412
167,-37.39093,149.34271,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",982419.3138645906
168,-36.93712,146.40103,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",908434.963411823
169,-36.98238,147.21255,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",912340.5466146832
170,-37.72349,145.10965,Lake Numalla Aggregation,995548.8491525023
171,-37.1524,143.1067,Bulloo Lake,911121.6787317378
172,-37.79015,145.70964,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1007783.5476557795
173,-37.3205,145.28453,Lake Numalla Aggregation,952496.5363424076
174,-36.26053,144.24582,Bulloo Lake,826108.4868649329
175,-35.95297,144.45252,Bulloo Lake,796755.288133614
176,-37.26051,145.87522,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",948001.8947697359
177,-37.91854,144.65714,Bulloo Lake,1013097.4908678541
178,-37.91509,145.35796,Lake Numalla Aggregation,1018457.7294733363
179,-38.4746,143.689,Bulloo Lake,1060710.7371361034
180,-37.95293,145.55547,Lake Numalla Aggregation,1024423.2898335096
181,-37.28682,143.15884,Bulloo Lake,926236.6505401442
182,-37.70686,141.87636,Bulloo Lake,971748.2179568113
183,-36.88011,145.62042,Lake Numalla Aggregation,907526.4888604472
184,-37.68711,144.88001,Lake Numalla Aggregation,990279.0375262753
185,-36.19012,147.72625,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",827413.9742880346
186,-37.16695,143.25565,Bulloo Lake,913610.0850785989
187,-36.91581,147.33875,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",905368.2976483571
188,-38.45465,145.54406,Lake Numalla Aggregation,1079250.673990071
190,-37.3834,145.46569,Lake Numalla Aggregation,961065.0980741208
191,-37.47353,141.62636,Bulloo Lake,947249.2248782169
193,-38.28852,143.96101,Bulloo Lake,1043162.0808159477
194,-38.36247,142.48426,Bulloo Lake,1043188.1666204944
195,-38.58628,146.35429,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1090343.4273816962
196,-37.51854,148.2638,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",978837.5604996044
197,-37.71194,144.44439,Bulloo Lake,987104.3077302547
198,-37.66107,145.37542,Lake Numalla Aggregation,990714.4386553075
199,-36.03388,146.17692,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",810128.8702194687
200,-37.70686,142.04303,Bulloo Lake,971250.6682568382
204,-37.20678,148.82625,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",952787.1115515203
205,-37.23394,143.82907,Bulloo Lake,926275.6448232217
206,-38.54894,143.95905,Bulloo Lake,1071567.6969954944
207,-37.59189,147.69847,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",981816.0845702589
208,-37.70079,148.56159,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1002503.8758176994
209,-38.01331,143.97718,Bulloo Lake,1013297.0289015213
210,-37.13024,143.19491,Bulloo Lake,909175.537659056
213,-37.47353,149.59374,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",996725.2179351918
215,-38.20385,146.16238,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1049379.364949159
219,-37.73788,149.31887,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1019229.0843223595
220,-36.32692,146.92631,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",839432.2161313229
221,-36.73374,148.06469,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",890519.7721312217
222,-36.31616,146.83775,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",838300.9483377807
223,-37.13895,146.16906,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",932140.8864724906
224,-37.68711,145.36073,Lake Numalla Aggregation,993446.4473407977
225,-37.57344,149.75957,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1011221.812584507
226,-36.11638,147.834,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",820213.6111162892
227,-37.31932,144.364,Bulloo Lake,943172.9155912764
228,-37.89501,144.65221,Bulloo Lake,1010467.7451017023
229,-36.59762,146.04032,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",873513.320375578
230,-36.7326,145.98844,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",888857.3745723816
231,-37.74565,144.13264,Bulloo Lake,986082.7021245017
232,-37.74924,145.17322,Lake Numalla Aggregation,998810.0136062868
233,-36.9898,147.48044,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",914159.6494250682
234,-38.072,141.292,Bulloo Lake,1015492.3957313026
237,-37.89435,145.42324,Lake Numalla Aggregation,1016747.8418469386
238,-34.70683,143.12629,Bulloo Lake,640555.1585060412
239,-37.76314,145.75526,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1004353.0579309313
241,-38.10653,144.06669,Bulloo Lake,1024571.5285110472
242,-37.822,145.3882,Lake Numalla Aggregation,1008497.4593806886
243,-36.35361,146.32937,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",844358.3609362742
244,-36.79019,142.04301,Bulloo Lake,869965.8909832784
245,-37.70239,145.15325,Lake Numalla Aggregation,993517.4816097835
246,-37.9142,144.65444,Bulloo Lake,1012580.7518036057
247,-36.79706,144.50462,Bulloo Lake,889042.1150549179
248,-37.6946,148.7234,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1004157.2371702697
249,-38.58614,143.32772,Bulloo Lake,1070185.0710670704
250,-37.50623,148.85322,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",985738.0516798416
251,-38.04021,141.12638,Bulloo Lake,1013521.8655765046
252,-38.12354,141.20971,Bulloo Lake,1021864.8055548826
254,-37.69987,144.45029,Bulloo Lake,985892.1204485913
255,-38.06024,145.81179,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1036367.8509212292
257,-37.26878,145.78837,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",949786.7364170922
258,-37.38179,148.35126,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",964913.0895115669
259,-36.4995,145.94997,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",863560.9140042827
263,-37.11002,144.1841,Bulloo Lake,917548.3649541837
264,-38.69407,146.07739,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1103738.07444272
265,-38.12347,147.04296,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1038047.5653916736
267,-36.36074,148.04175,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",849255.6050687567
268,-37.09919,144.42033,Bulloo Lake,920238.0626477422
269,-37.76057,145.53166,Lake Numalla Aggregation,1003103.3941428076
270,-38.35151,142.49548,Bulloo Lake,1041980.0480523262
272,-37.79016,145.04298,Lake Numalla Aggregation,1002476.7098091488
274,-37.8934,144.65169,Bulloo Lake,1010284.5631822156
275,-37.73306,145.17589,Lake Numalla Aggregation,997048.9108659416
276,-35.95682,144.3763,Bulloo Lake,795622.2222565669
277,-36.9138,142.51071,Bulloo Lake,883277.0055803745
278,-37.45679,148.12626,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",970569.296762696
280,-37.11155,147.81276,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",929741.0168683417
281,-37.41821,149.35231,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",985549.2374688081
282,-38.45682,146.20965,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1076879.3481794929
283,-37.55963,148.95204,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",993192.7083040888
285,-37.52346,148.2596,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",979328.3263404912
286,-36.11444,147.83515,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",820010.3210985829
287,-37.74078,145.20861,Lake Numalla Aggregation,998132.4179742085
288,-37.79016,144.79299,Lake Numalla Aggregation,1001279.22857264
289,-37.79832,145.38667,Lake Numalla Aggregation,1005884.472357688
290,-35.89014,145.65961,Lake Numalla Aggregation,799483.061787496
291,-37.6235,144.37632,Bulloo Lake,976405.1720644522
292,-37.10049,147.58884,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",926969.6086630091
293,-37.22297,147.71695,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",941301.51565242
294,-37.63433,149.49168,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1011675.3743857653
295,-37.20684,143.20967,Bulloo Lake,917715.0117480998
296,-37.17365,143.1376,Bulloo Lake,913632.9769436421
297,-37.17122,147.76353,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",935935.086578951
298,-37.4027,146.0308,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",962244.6863073978
299,-37.20682,145.6263,Lake Numalla Aggregation,943416.0833896489
300,-37.72484,149.26057,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1016683.51481439
301,-37.24595,147.46712,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",942379.1652302206
302,-37.76516,145.10132,Lake Numalla Aggregation,1000081.4074837638
303,-37.73471,145.1089,Lake Numalla Aggregation,996778.8507361747
304,-38.36326,142.49124,Bulloo Lake,1043274.2274675784
305,-37.79016,145.00965,Lake Numalla Aggregation,1002286.3517369522
306,-36.4337,148.085,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",857764.7321692657
307,-37.51057,147.84636,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",973928.1588522287
308,-37.26501,145.87515,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",948496.9884335822
309,-35.42397,143.72578,Bulloo Lake,726390.7866730748
310,-38.07608,145.77505,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1038451.7662948171
311,-37.73361,145.21,Lake Numalla Aggregation,997354.0745235172
314,-37.47481,148.92624,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",983559.2921749717
315,-36.02347,146.00961,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",810512.0235596183
317,-37.79346,145.36065,Lake Numalla Aggregation,1005125.901050408
318,-38.41519,142.50137,Bulloo Lake,1048989.6079554479
319,-36.72387,145.64417,Lake Numalla Aggregation,890685.309060455
320,-36.38543,146.40418,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",847433.0509390159
323,-38.13558,144.23724,Bulloo Lake,1029996.8510745396
324,-37.56932,149.26955,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1000115.9523463461
325,-38.55655,143.61864,Bulloo Lake,1069065.374100804
326,-37.29668,145.83773,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",952344.432954377
327,-38.38783,142.77766,Bulloo Lake,1046181.6210114424
328,-37.75542,145.70692,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1004007.362633579
329,-38.58012,146.58511,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1088805.6854585425
330,-38.57528,146.57194,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1088311.5496487336
331,-38.51148,146.30419,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1082369.1109729956
332,-36.71791,146.21798,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",885352.939332433
333,-37.16588,145.54555,Lake Numalla Aggregation,938018.7897968991
334,-36.85361,147.51854,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",899313.5239698288
335,-37.75683,145.07632,Lake Numalla Aggregation,999007.9903876807
336,-37.3735,144.00966,Bulloo Lake,943810.09720017
338,-38.58301,146.25788,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1090466.248185727
340,-37.35704,144.40225,Bulloo Lake,947902.9503250989
341,-37.54878,148.79804,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",989463.2520725057
342,-36.97971,147.49446,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",913115.8413072978
343,-36.04014,145.95961,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",812864.6602059109
344,-37.05314,147.6027,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",921827.635075097
345,-36.37347,146.29294,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",846791.2013068077
346,-38.65173,146.30021,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1097791.6502180335
347,-34.58184,142.7513,Bulloo Lake,624645.7455690593
350,-37.67128,147.86911,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",991780.5680259424
351,-38.16779,146.41007,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1044081.2654167126
352,-37.55139,147.86859,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",978594.2693081762
353,-37.92366,145.32705,Lake Numalla Aggregation,1019143.3169539409
354,-36.73222,146.96791,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",884332.3414009816
355,-38.65185,143.49221,Bulloo Lake,1078503.7411088166
356,-36.35798,146.32748,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",844853.535202896
357,-37.50557,148.85401,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",985679.4569067741
358,-36.12346,147.04293,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",816913.0686823402
359,-37.73028,146.98556,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",994659.7012742757
360,-36.1068,147.02626,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",815050.3271141783
361,-37.26102,143.14007,Bulloo Lake,923286.4976847853
362,-37.25306,144.38015,Bulloo Lake,936246.850757175
363,-37.70258,148.71859,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1004952.9570287177
364,-37.85762,145.52265,Lake Numalla Aggregation,1013653.2310935593
365,-36.59994,145.76071,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",876656.6402934468
366,-37.76289,147.35394,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",998948.3662397095
367,-37.92389,145.55694,Lake Numalla Aggregation,1021256.358670532
369,-38.32931,144.31005,Bulloo Lake,1052086.9531241693
370,-36.2568,147.12626,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",831815.6663370163
371,-36.75894,147.26623,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",887772.9179850316
372,-37.98309,145.59697,Lake Numalla Aggregation,1028147.5133189465
373,-38.24127,145.94317,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1055072.3414214044
374,-38.54711,143.96012,Bulloo Lake,1071379.8998122553
375,-37.22689,144.37782,Bulloo Lake,933366.759566554
376,-37.61842,149.47693,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1009655.3276015411
377,-37.13825,144.36147,Bulloo Lake,923467.9264129964
378,-37.513,145.428,Lake Numalla Aggregation,974931.765366644
379,-38.70277,143.47841,Bulloo Lake,1083982.655027297
380,-36.78418,144.51345,Bulloo Lake,887816.4628379544
381,-36.54664,147.6275,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",866063.3770938347
382,-38.00145,145.37801,Lake Numalla Aggregation,1028105.5767230362
383,-37.70685,143.37634,Bulloo Lake,973904.2398576458
384,-38.56888,145.60029,Lake Numalla Aggregation,1092280.3927622382
385,-37.44272,148.15778,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",969356.8085057674
386,-37.39144,148.21893,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",964404.0837544804
387,-37.4789,148.30909,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",975026.8033686136
390,-37.10855,147.57744,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",927792.3562629711
391,-37.74989,145.69646,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1003512.2911663821
392,-38.71641,143.64105,Bulloo Lake,1086754.490568916
393,-38.54018,143.70968,Bulloo Lake,1068076.7508257176
394,-36.14684,145.80172,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",826388.2414413061
395,-36.04014,146.12627,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",811252.1711029813
396,-37.59018,143.40967,Bulloo Lake,961319.0484107746
397,-37.79016,145.02632,Lake Numalla Aggregation,1002380.3799450746
399,-37.04015,145.79296,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",924638.0868068909
401,-38.59551,146.11191,"""Myola""-""Mulga Downs"" Salt Lake and Claypans",1092702.337823003
